Name,Description,Latitude,Longitude,Marker
Scale Force Waterfall,Scale Force is considered the highest waterfall in the English Lake District. The total height is 170 feet (51.8m). It lies on the stream Scale Beck. The waterfall (or force) is hidden in a deep gorge on the northern flank of Red Pike. It lies south of Crummock Water and is near the village of Buttermere.,54.5432,-3.3135,waterfall
Latterbarrow,"Latterbarrow is a hill in the English Lake District, east of Hawkshead, Cumbria. Latterbarrow is home to an amazing variety of plants with over 200 species recorded. The underlying limestone rock, combined with a mix of grassland, ash and hazel woodland and scrub provides a variety of habitats. Yew and the rare Lancastrian whitebeam are particular features of the woodland, but the flower-rich grassland steals the show.  Ash and hazel woodland covers about half of the nature reserve. With early-purple orchid and cowslips opening the sequence in May, greater butterfly and fragrant orchids follow in June, and the display becomes even more colourful in July. By varying the timing of the grazing, flowers set seed periodically, which ensures the continuing diversity in the grassland. The resulting abundance of nectar makes Latterbarrow a haven for insect life. ",54.384,-2.9742,nature
Rydal Cave,"Located on the slopes of Loughrigg Fell, Rydal Caves is one of the great free things to do in the Lake District. It is a man-made cave on the site of a former slate quarry, with stepping stones leading to a dry interior.",54.4433,-2.9964,nature
The Old Man of Coniston,"The Old Man of Coniston is a fell in the Furness Fells in the Cumbria, English Lake District and is the highest point (county top) of the historic county of Lancashire. It is at least 2,632.62 feet (802.42 m) high, and lies to the west of the village of Coniston and the lake, Coniston Water. The fell is sometimes known by the alternative name of Coniston Old Man, or simply The Old Man. The mountain is popular with tourists and fell-walkers with a number of well-marked paths to the summit. The mountain has also seen extensive copper and slate mining activity for eight hundred years, and the remains of abandoned mines and spoil tips are a significant feature of the north-east slopes.",54.3702,-3.1199,nature
Dow Crag,"Dow Crag is a fell in the English Lake District near Coniston, Cumbria. The eastern face is one of the many rock faces in the Lake District used for rock climbing. The name Dow Crag originally applied specifically to the eastern face which looks down upon the tarn of Goat's Water, the fell itself having no need for a name before the inception of hill walking in the 19th century. As with many fells the name of a prominent feature was then applied to the whole mass. Dow was originally named Doe and still locally pronounced as ""Doe"".",54.3703,-3.1368,nature
Friars Crag,"Friars Crag is a promontory overlooking Derwentwater near Keswick, Cumbria. Friars Crag is only a short walk from the town centre and well worth visiting as the view over Derwentwater to the jaws of Borrowdale is amazing. Just back from the Crag is a monument erected in 1900 in recognition of the writer and artist John Ruskin's first visit to Keswick in 1824. Years later he observed that the view from the Crag was one or the finest in Europe. He is also reputed to have said when he first saw Keswick that 'it was a place almost too beautiful to live in'.",54.5903,-3.1381,nature
Eagle Crag,"Eagle Crag is a fell in the Lake District in Cumbria, England, it is situated near the village of Stonethwaite where the valleys of Langstrath and Greenup join. Impressive walls of crag look down upon Stonethwaite, making Eagle Crag the most arresting sight from that settlement. It can be climbed direct by the average walker, picking a route between the rock faces.",54.4986,-3.1193,nature
Whitewater Dash,"Whitewater Dash is a spectacular waterfall on the Dash Beck in the Cumberland Lake District, east of Bassenthwaite. It is reckoned one of the finest waterfalls in Lakeland. The fall, sometimes called ‘Dash Falls’, is found in the narrow dale between Little Calva to the east and Bakestall, a subsidiary fell of mighty Skiddaw, to the west. It is just below the head of the valley Dash Beck, which begins on the felltop in Candleseaves Bog. The water gathered from the bog into a new river here tumbles in a long series of cascades down the precipitous sides of the fells towards the comparatively lower ground beneath, in which lies Bassenthwaite Lake. The dramatic course of the beck turns the water into a white ribbon and Wainwright called it the finest succession of falls in Lakeland. Nevertheless, the remote location leaves the fall relatively unvisited and unspoiled.",54.6727,-3.1237,nature
Lakeland Pony Treks,Lakeland Pony Treks is set on the edge of Limefitt Holiday Park based in the historic valley of Troutbeck only two miles away from the town of Windermere. Lakeland Pony Treks has a selection of horse rides to suit every age and ability. All beginner rides are off-road amongst the lovely scenery of the Troutbeck Valley.,54.4254,-2.8966,activity
Brockhole on Windermere -The Lake District Visitor Centre,"Located between Windermere and Ambleside, Brockhole on Windermere is the perfect place for all the family. It has a variety of outdoor (but covered) activities, an adventure playground, water sports, and boat hire. 

Opening times:
Visitors Centre, Café & Shop: 10am - 5pm
Gardens, grounds, carpark: 9am - 7.30pm
Boat Hire and Activities: 10am-5pm
TreeTop Trek and Nets: 10am - 4pm
The Gaddum Restaurant: 12-3pm. Closed Mondays

",54.4018,-2.9412,activity
Waterhead,"Windermere Lake ends a mile short of Ambleside at Waterhead, and can come as a shock to boat passengers expecting to be in the town. Crowded around the bay are boats, hotels, cafes, tourist shops, and places selling food for the ducks and swans.",54.421,-2.9619,activity
Esthwaite Water Trout Fishery,"The Esthwaite Water Trout Fishery offers a self-driven boat tour of the lake where hunting Osprey are an almost daily sight, and the lake is also renowned for its trout stock, with everything you need to get started available at the Fishery shop.",54.3516,-2.9828,activity
Go Ape Grizedale ,Adventure-activity chain venue where groups explore the forest canopy via a treetop rope course. Grizedale Forest is a haven for zip wire lovers. Each of the high ropes courses offer seriously long flights but the king of forest flying is Zip Trekking Adventure – a spine-tingling 3km aerial adventure.,54.3387,-3.0204,activity
Coniston Boating Centre,"Coniston Boating Centre has motor boats, rowing boats, kayaks, open top Canadian canoes, paddle boards and sailing dinghies. It also has bikes, mountain bike, and fat tyre electric bikes.",,,activity
Water Park Lakeland Adventure Centre,Waterpark is ideally situated at the southern end of Coniston Water and has easy access to the M6 via the Kendal turning,54.3032,-3.0854,activity
Dalemain,"Dalemain is a country house around 5 miles south-west of Penrith in Cumbria, England. It is a Grade I listed building. Dalemain is part of the Lake District UNESCO World Heritage Site. Dalemain Historic House and Gardens, home to the annual “World’s Original Marmalade Awards & Festival”, is a fine stately home with a beautiful Georgian facade of dressed pink stone. It stands in 5 acres of landscaped gardens and parkland, and both the house and the gardens are open to the public.",54.6361,-2.8034,heritage
Oxenholme,"‘Oxenholme The Lake District’ railway station, located just outside Kendal, is a junction between the West Coast Main Line and the The lakes Line branch Line to Windermere station. Oxenholme is known as the Gateway to the Lakes. It is within walking distance of Kendal, a pretty Lakeland town which has plenty of local services and shops catering to the many tourists as well as the locals in the area.",54.3016,-2.7237,heritage
Troutbeck Bridge,"Troutbeck Bridge is a village in South Lakeland, Cumbria, England. It is situated 1 mile (1.5 kilometres) north of Windermere on the A591 road running through the Lake District and was historically in the county of Westmorland. Troutbeck Bridge takes its name from where the road crosses the Trout Beck.",54.395,-2.9209,heritage
Blackwell,"Blackwell is a large house in the English Lake District, designed in the Arts and Crafts style by Baillie Scott. It was built in 1898–1900, as a holiday home for Sir Edward Holt, a wealthy Manchester brewer. It is near the town of Bowness-on-Windermere with views looking over Windermere and across to the Coniston Fells.
Blackwell has survived with almost all its original decorative features intact, and is listed Grade I as an outstanding example of British domestic architecture. The house is furnished with original furniture and objects from the period. The gardens were designed by Thomas Mawson in a series of terraces. Flowers and herbs border the terraces, which form sun traps on the south side of the house.
The house has been open to visitors since 2001 and hosts regular exhibitions",54.3431,-2.9236,heritage
Coniston Copper Mines,"The Coniston copper mines were a copper mining operation in Lancashire, England. It was functional for hundreds of years in Coppermines Valley above Coniston Water. Today there are industrial remains of the industry. Mining for copper in the valley dates back to the 16th century and the area continued to be mined until the 1950s. In 1982 the buildings in the valley were purchased by The Coppermines Lakes Cottages founder Philip Johnston who set about a comprehensive scheme of rebuilding, restoration and conservation. The buildings were sympathetically restored from the original Victorian sawmill.",54.3785,-3.0954,heritage
